PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40627411,Pain Relief by Targeting Nonrestorative Sleep in Fibromyalgia: A Phase 3 Randomized Trial of Bedtime Sublingual Cyclobenzaprine.,2025,Seth Lederman; Ben Vaughn; Jean M Engels; Mary Kelley; Gregory M Sullivan,"Tonix Pharmaceuticals, Inc, ., Chatham, NJ, United States.; Rho Inc, Chapel Hill, NC, United States.; Tonix Pharmaceuticals, Inc, ., Chatham, NJ, United States.; Tonix Pharmaceuticals, Inc, ., Chatham, NJ, United States.; Tonix Pharmaceuticals, Inc, ., Chatham, NJ, United States.",Not Found
40627396,Oxidative stress is a shared characteristic of ME/CFS and Long COVID.,2025,Sadasivan Shankar,"SLAC National Accelerator Laboratory, Menlo Park, CA 94025.",Not Found
40627302,Transitional care after hospitalization for sepsis in Germany- results from the population-based AVENIR cohort study.,2025,Konrad Reinhart,"Sepsis Foundation, Berlin, Germany.",carolin.fleischmann-struzek@med.uni-jena.de.
40627146,Stick-and-test: simple tape-based devices for SARS-CoV-2 isothermal molecular detection.,2025,Paulo Felipe Neves Estrela; Marcio Neres de Souza Júnior; Kézia Gomes de Oliveira; Gabriela Rodrigues Mendes Duarte,"Instituto de Química, Universidade Federal de Goiás, Campus Samambaia, 74690-900, Goiânia, GO, Brasil.; Instituto de Química, Universidade Federal de Goiás, Campus Samambaia, 74690-900, Goiânia, GO, Brasil.; Instituto de Química, Universidade Federal de Goiás, Campus Samambaia, 74690-900, Goiânia, GO, Brasil.; Instituto de Química, Universidade Federal de Goiás, Campus Samambaia, 74690-900, Goiânia, GO, Brasil. gabriela_duarte@ufg.br.",gabriela_duarte@ufg.br.
40626929,Vaccine-related environments and patient preferences in Japanese patients with autoimmune rheumatic diseases.,2025,Masashi Akizuki; Haruko Ideguchi; Junichi Obata; Atsuhisa Ueda; Masaomi Yamasaki,"Akizuki Clinic for Rheumatic Diseases, Yokohama, Japan.; Ideguchi Clinic: Primary care and Rheumatology, Yamato, Japan.; Hikari Chuo Clinic, Kawasaki, Japan.; Ueda Medical Clinic, Yokohama, Japan.; Shin-Yokohama Arthritis and Rheumatology Clinic, Yokohama, Japan.",Not Found
40626683,ZASP/LDB3-related atypical distal myopathy with subtle cardiac impairment unveiled after COVID-19 infection: a short report.,2025,Stefano Pidello,"Division of Cardiology, Department of Cardiovascular and Thoracic Medicine, A.O.U. Città della Salute e della Scienza di Torino, Turin, Italy.",Not Found
40626650,Antimicrobial stewardship in regional hospitals: a human factors evaluation of barriers and facilitators and the role of technology.,2025,Angus Ritchie; Nathan Chahoud,"Health Informatics Unit, Sydney Local Health District, Camperdown, New South Wales, Australia.; Department of Pharmacy, Orange Health Service, Orange, New South Wales, Australia.",Not Found
40626611,Advancing Health Equity Among Women of Borderland Communities Peri- and Post-COVID-19: An Intersectional Community-Based Participatory Research Study.,2025,Lovely Ganthier; Ana Gonzalez,"Young Women's Christian Association Southern Arizona, Tucson, AZ, USA.; Young Women's Christian Association Southern Arizona, Tucson, AZ, USA.",Not Found
40626567,"The short-, medium- and long-term risk and the multi-organ involvement of clinical sequelae after COVID-19 infection: a multinational network cohort study.",2025,Xiaoyu Lin; Can Yin; Celine Sze Ling Chui,"Real-World Solutions, IQVIA, Durham, North Carolina 27703, USA.; Real-World Solutions, IQVIA, Durham, North Carolina 27703, USA.; Laboratory of Data Discovery for Health (D24H), Hong Kong Science and Technology Park, Sha Tin, Hong Kong SAR, China.",Not Found
40626389,"Exploring the utility of Preevid, an evidence-based answer service to clinical questions, during the COVID-19 pandemic.",2025,Concepción Rosa-García; Amalia Mas-Bleda; Josefa Patricia Moreno-Pina; Isabel Pozo-Serrano; María Del Carmen Sánchez-López; Juan Antonio Sánchez-Sánchez; Enrique Aguinaga-Ontoso,"Departamento de Ciencias Sociosanitarias, Facultad de Medicina, Universidad de Murcia, Murcia, Spain.; Centro Tecnológico de Información y Documentación Sanitarias, Servicio Murciano de Salud, Murcia, Spain.; Centro Tecnológico de Información y Documentación Sanitarias, Servicio Murciano de Salud, Murcia, Spain.; Centro Tecnológico de Información y Documentación Sanitarias, Servicio Murciano de Salud, Murcia, Spain.; Departamento de Ciencias Sociosanitarias, Facultad de Medicina, Universidad de Murcia, Murcia, Spain.; Departamento de Ciencias Sociosanitarias, Facultad de Medicina, Universidad de Murcia, Murcia, Spain.; Departamento de Ciencias Sociosanitarias, Facultad de Medicina, Universidad de Murcia, Murcia, Spain.",Not Found
